rank,name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,value,outcome
644,Grigor Dimitrov,Bulgaria,BUL,Jeremy Chardy,France,FRA,16/01/2012,Australian Open,G,5,H,FAUX,46,R128,4-6 6-3 3-6 6-4 6-4,VRAI,11,
644,Guillaume Rufin,France,FRA,Nicolas Almagro,Spain,ESP,25/06/2012,Wimbledon,G,5,G,FAUX,80,R64,6-2 5-7 6-2 6-4,FAUX,11,
644,Guillermo Garcia Lopez,Spain,ESP,Igor Kunitsyn,Russian Federation,RUS,30/04/2012,Belgrade,B,3,C,FAUX,36,R32,7-6(4) 6-7(1) 6-2,VRAI,11,
644,Igor Andreev,Russian Federation,RUS,Juan Carlos Ferrero,Spain,ESP,06/05/2012,Madrid Masters,M,3,C,FAUX,67,R64,6-4 7-6(4),VRAI,11,
644,Igor Sijsling,Netherlands,NED,Gilles Muller,Luxembourg,LUX,27/05/2012,Roland Garros,G,5,C,FAUX,40,R128,2-6 7-5 3-6 6-4 8-6,FAUX,11,
644,Igor Sijsling,Netherlands,NED,Feliciano Lopez,Spain,ESP,24/09/2012,Kuala Lumpur,B,3,H,VRAI,44,R16,7-6(0) 7-6(2),VRAI,11,
644,Igor Sijsling,Netherlands,NED,Jarkko Nieminen,Finland,FIN,13/02/2012,Rotterdam,A,3,H,VRAI,54,R32,6-1 6-7(7) 7-5,FAUX,11,
644,Ivan Dodig,Croatia,CRO,Philipp Kohlschreiber,Germany,GER,21/10/2012,Valencia,A,3,H,VRAI,49,R32,6-2 7-6(6),VRAI,11,
644,Ivan Dodig,Croatia,CRO,Go Soeda,Japan,JPN,11/06/2012,Queen's Club,B,3,G,FAUX,73,R32,6-3 7-6(3),VRAI,11,
644,Ivan Dodig,Croatia,CRO,Andreas Seppi,Italy,ITA,17/09/2012,Metz,B,3,H,VRAI,55,R32,6-7(7) 6-3 6-4,FAUX,11,
644,Ivan Ljubicic,Croatia,CRO,Michael Berrer,Germany,GER,30/01/2012,Zagreb,B,3,H,VRAI,59,R16,6-4 6-4,FAUX,11,
644,Ivan Ljubicic,Croatia,CRO,Jesse Huta Galung,Netherlands,NED,13/02/2012,Rotterdam,A,3,H,VRAI,54,R32,7-6(6) 6-3,FAUX,11,
644,Jack Sock,United States,USA,Steve Johnson,United States,USA,16/07/2012,Atlanta,B,3,H,FAUX,56,R16,7-6(5) 7-6(5),VRAI,11,
