rank,name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,value,outcome
1,Ivo Karlovic,Croatia,CRO,Ivan Dodig,Croatia,CRO,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-4 3-6 6-7(5) 6-4 6-4,FAUX,48,
2,Andreas Haider Maurer,Austria,AUT,Florent Serra,France,FRA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(5) 6-3 6-3,VRAI,39,
3,Milos Raonic,Canada,CAN,Radek Stepanek,Czech Republic,CZE,14/02/2011,Memphis,A,3,H,VRAI,72,R16,6-4 6-7(10) 7-6(1),VRAI,38,
4,Gilles Muller,Luxembourg,LUX,Tommy Haas,Germany,GER,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(5) 7-6(3) 3-6 6-3,VRAI,37,
5,Feliciano Lopez,Spain,ESP,Andy Roddick,United States,USA,06/06/2011,Queen's Club,B,3,G,FAUX,75,R32,7-6(2) 6-7(5) 6-4,FAUX,35,
5,Kenny De Schepper,France,FRA,Olivier Rochus,Belgium,BEL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-7(6) 3-6 6-3 6-1 6-4,FAUX,35,
7,Andy Roddick,United States,USA,Robin Haase,Netherlands,NED,17/01/2011,Australian Open,G,5,H,FAUX,55,R32,2-6 7-6(2) 6-2 6-2,VRAI,32,
7,Ivo Karlovic,Croatia,CRO,Daniel Brands,Germany,GER,31/01/2011,Zagreb,B,3,H,VRAI,56,R32,7-5 6-7(3) 7-6(1),FAUX,32,
7,Milos Raonic,Canada,CAN,Andy Roddick,United States,USA,14/02/2011,Memphis,A,3,H,VRAI,72,F,7-6(7) 6-7(11) 7-5,FAUX,32,
10,Andy Roddick,United States,USA,Andreas Beck,Germany,GER,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-4 7-6(6) 6-3,VRAI,30,
10,John Isner,United States,USA,James Blake,United States,USA,18/07/2011,Atlanta,B,3,H,FAUX,49,R16,7-6(8) 6-7(3) 7-5,VRAI,30,
10,Juan Martin Del Potro,Argentina,ARG,Olivier Rochus,Belgium,BEL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-7(7) 6-1 6-0 6-4,VRAI,30,
13,Dustin Brown,Germany,GER,Albert Montanes,Spain,ESP,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-4 6-2 3-6 2-6 7-5,FAUX,29,
13,Ivo Karlovic,Croatia,CRO,Richard Gasquet,France,FRA,29/08/2011,US Open,G,5,H,FAUX,49,R64,6-4 6-2 2-6 7-6(4),VRAI,29,
13,Jo Wilfried Tsonga,France,FRA,Fernando Gonzalez,Chile,CHI,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,6-3 6-4 6-3,VRAI,29,
16,Feliciano Lopez,Spain,ESP,Frank Dancevic,Canada,CAN,31/01/2011,Johannesburg,B,3,H,FAUX,54,R32,6-7(5) 6-2 7-6(8),FAUX,28,
16,Feliciano Lopez,Spain,ESP,Lukasz Kubot,Poland,POL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R16,3-6 6-7(5) 7-6(7) 7-5 7-5,VRAI,28,
16,Feliciano Lopez,Spain,ESP,Rainer Schuettler,Germany,GER,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,7-6(3) 6-7(3) 6-2 6-2,VRAI,28,
16,Feliciano Lopez,Spain,ESP,Andy Roddick,United States,USA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,7-6(2) 7-6(2) 6-4,VRAI,28,
16,Ivo Karlovic,Croatia,CRO,Philipp Kohlschreiber,Germany,GER,03/01/2011,Doha,B,3,H,FAUX,73,R16,7-6(5) 6-7(4) 7-6(2),VRAI,28,
16,John Isner,United States,USA,Nicolas Almagro,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,7-6(3) 7-6(5) 6-7(5) 6-3,FAUX,28,
16,John Isner,United States,USA,Gilles Muller,Luxembourg,LUX,18/07/2011,Atlanta,B,3,H,FAUX,49,SF,7-5 6-7(3) 6-1,VRAI,28,
16,Milos Raonic,Canada,CAN,Mikhail Youzhny,Russian Federation,RUS,17/01/2011,Australian Open,G,5,H,FAUX,55,R32,6-4 7-5 4-6 6-4,VRAI,28,
16,Robin Soderling,Sweden,SWE,Lleyton Hewitt,Australia,AUS,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-7(5) 3-6 7-5 6-4 6-4,VRAI,28,
16,Viktor Troicki,Serbia,SRB,Maximo Gonzalez,Argentina,ARG,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,3-6 6-0 7-6(3) 6-3,VRAI,28,
26,Carlos Berlocq,Argentina,ARG,Olivier Rochus,Belgium,BEL,12/06/2011,Eastbourne,B,3,G,FAUX,67,R16,3-6 7-6(5) 7-6(3),FAUX,27,
26,John Isner,United States,USA,Florent Serra,France,FRA,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-3 7-6(8) 6-3,VRAI,27,
26,Lukasz Kubot,Poland,POL,Feliciano Lopez,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R16,3-6 6-7(5) 7-6(7) 7-5 7-5,FAUX,27,
26,Milos Raonic,Canada,CAN,Bjorn Phau,Germany,GER,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,7-6(3) 6-3 7-6(8),VRAI,27,
30,Gilles Muller,Luxembourg,LUX,Kei Nishikori,Japan,JPN,21/08/2011,Winston-Salem,B,3,H,FAUX,55,R64,1-6 6-4 7-6(5),FAUX,26,
30,Ivan Ljubicic,Croatia,CRO,Gilles Muller,Luxembourg,LUX,19/09/2011,Metz,B,3,H,VRAI,70,SF,7-6(3) 7-6(5),VRAI,26,
30,John Isner,United States,USA,Gilles Simon,France,FRA,29/08/2011,US Open,G,5,H,FAUX,49,R16,7-6(2) 3-6 7-6(2) 7-6(4),VRAI,26,
30,John Isner,United States,USA,Marin Cilic,Croatia,CRO,17/01/2011,Australian Open,G,5,H,FAUX,55,R32,4-6 6-2 6-7(5) 7-6(2) 9-7,FAUX,26,
30,Mardy Fish,United States,USA,Marcel Granollers,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(3) 7-6(5) 6-4,VRAI,26,
35,Fernando Gonzalez,Chile,CHI,Alexandr Dolgopolov,Ukraine,UKR,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-3 6-7(6) 7-6(3) 6-4,VRAI,25,
35,Fritz Wolmarans,South Africa,RSA,Igor Sijsling,Netherlands,NED,31/01/2011,Johannesburg,B,3,H,FAUX,54,R32,4-6 6-3 6-4,VRAI,25,
35,Jo Wilfried Tsonga,France,FRA,Juan Martin Del Potro,Argentina,ARG,24/10/2011,Vienna,B,3,H,VRAI,76,F,6-7(5) 6-3 6-4,VRAI,25,
35,Jo Wilfried Tsonga,France,FRA,Rafael Nadal,Spain,ESP,06/06/2011,Queen's Club,B,3,G,FAUX,75,QF,6-7(3) 6-4 6-1,VRAI,25,
35,Kevin Anderson,South Africa,RSA,Bernard Tomic,Australia,AUS,09/10/2011,Shanghai Masters,M,3,H,FAUX,60,R64,7-6(5) 6-7(4) 6-3,FAUX,25,
35,Marsel Ilhan,Turkey,TUR,Tommy Haas,Germany,GER,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,6-4 4-6 7-6(1) 6-4,VRAI,25,
35,Milos Raonic,Canada,CAN,Marc Gicquel,France,FRA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-3 7-6(3) 6-3,VRAI,25,
35,Nicolas Almagro,Spain,ESP,John Isner,United States,USA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,7-6(3) 7-6(5) 6-7(5) 6-3,VRAI,25,
35,Robin Haase,Netherlands,NED,Pere Riba,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-4 6-4 6-4,VRAI,25,
35,Roger Federer,Switzerland,SUI,Feliciano Lopez,Spain,ESP,01/05/2011,Madrid Masters,M,3,C,FAUX,53,R32,7-6(13) 6-7(1) 7-6(7),VRAI,25,
35,Sergei Bubka,Ukraine,UKR,Andreas Haider Maurer,Austria,AUT,29/08/2011,US Open,G,5,H,FAUX,49,R128,6-3 6-2 3-6 6-4,VRAI,25,
35,Thomaz Bellucci,Brazil,BRA,Jan Hernych,Czech Republic,CZE,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,6-2 6-7(11) 6-4 6-7(3) 8-6,FAUX,25,
47,Ernests Gulbis,Latvia,LAT,Dmitry Tursunov,Russian Federation,RUS,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-3 3-6 7-6(12) 7-6(1),FAUX,24,
47,Ivo Karlovic,Croatia,CRO,John Isner,United States,USA,04/04/2011,Houston,B,3,C,FAUX,23,QF,7-6(2) 6-7(2) 7-6(9),VRAI,24,
47,Ivo Karlovic,Croatia,CRO,Denis Kudla,United States,USA,04/07/2011,Newport,B,3,G,FAUX,56,R32,7-6(4) 4-6 6-4,FAUX,24,
47,Marsel Ilhan,Turkey,TUR,Guillermo Garcia Lopez,Spain,ESP,22/05/2011,Roland Garros,G,5,C,FAUX,46,R64,6-4 1-6 6-2 4-6 13-11,FAUX,24,
47,Stan Wawrinka,Switzerland,SUI,Andy Roddick,United States,USA,17/01/2011,Australian Open,G,5,H,FAUX,55,R16,6-3 6-4 6-4,VRAI,24,
52,Andy Roddick,United States,USA,Feliciano Lopez,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,7-6(2) 7-6(2) 6-4,FAUX,23,
52,Andy Roddick,United States,USA,Ricardas Berankis,Lithuania,LTU,14/02/2011,Memphis,A,3,H,VRAI,72,R32,4-6 6-2 6-3,VRAI,23,
52,Carsten Ball,Australia,AUS,Pere Riba,Spain,ESP,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,1-6 7-6(5) 6-2 2-6 6-4,FAUX,23,
52,Feliciano Lopez,Spain,ESP,Roger Federer,Switzerland,SUI,01/05/2011,Madrid Masters,M,3,C,FAUX,53,R32,7-6(13) 6-7(1) 7-6(7),FAUX,23,
52,Fernando Verdasco,Spain,ESP,Janko Tipsarevic,Serbia,SRB,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,2-6 4-6 6-4 7-6(0) 6-0,VRAI,23,
52,Frank Dancevic,Canada,CAN,Ricardo Mello,Brazil,BRA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,3-6 3-6 6-4 7-6(6) 6-2,FAUX,23,
52,Gilles Muller,Luxembourg,LUX,Andreas Seppi,Italy,ITA,31/10/2011,Basel,A,3,H,VRAI,62,R32,7-6(4) 6-7(5) 6-2,FAUX,23,
52,Gilles Muller,Luxembourg,LUX,Edouard Roger Vasselin,France,FRA,29/08/2011,US Open,G,5,H,FAUX,49,R128,7-6(5) 6-4 6-4,VRAI,23,
52,Ivan Ljubicic,Croatia,CRO,Blaz Kavcic,Slovenia,SLO,29/08/2011,US Open,G,5,H,FAUX,49,R128,7-6(5) 3-6 6-1 7-5,VRAI,23,
52,Ivo Karlovic,Croatia,CRO,Rafael Nadal,Spain,ESP,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,QF,5-7 6-1 7-6(7),FAUX,23,
52,Ivo Karlovic,Croatia,CRO,Alexandr Dolgopolov,Ukraine,UKR,29/08/2011,US Open,G,5,H,FAUX,49,R32,6-7(4) 6-2 6-4 6-4,FAUX,23,
52,Ivo Karlovic,Croatia,CRO,Fernando Gonzalez,Chile,CHI,29/08/2011,US Open,G,5,H,FAUX,49,R128,6-4 6-4 7-6(3),VRAI,23,
52,Ivo Karlovic,Croatia,CRO,Lukas Rosol,Czech Republic,CZE,03/01/2011,Doha,B,3,H,FAUX,73,R32,7-6(5) 7-6(7),VRAI,23,
52,Jeremy Chardy,France,FRA,Potito Starace,Italy,ITA,17/10/2011,Moscow,B,3,H,VRAI,74,R32,6-3 6-7(5) 7-6(2),VRAI,23,
52,John Isner,United States,USA,Ivo Karlovic,Croatia,CRO,04/04/2011,Houston,B,3,C,FAUX,23,QF,7-6(2) 6-7(2) 7-6(9),FAUX,23,
52,Kevin Anderson,South Africa,RSA,Blaz Kavcic,Slovenia,SLO,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,2-6 6-4 7-6(4) 7-6(5),FAUX,23,
52,Mardy Fish,United States,USA,Tomas Berdych,Czech Republic,CZE,20/06/2011,Wimbledon,G,5,G,FAUX,80,R16,7-6(5) 6-4 6-4,VRAI,23,
52,Michael Llodra,France,FRA,Ricardo Mello,Brazil,BRA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-2 4-6 6-2 6-3,VRAI,23,
52,Milos Raonic,Canada,CAN,Mardy Fish,United States,USA,14/02/2011,Memphis,A,3,H,VRAI,72,SF,6-4 4-6 6-3,VRAI,23,
52,Milos Raonic,Canada,CAN,Feliciano Lopez,Spain,ESP,01/05/2011,Madrid Masters,M,3,C,FAUX,53,R64,4-6 7-6(2) 6-4,FAUX,23,
52,Rohan Bopanna,India,IND,Bernard Tomic,Australia,AUS,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,R128,6-7(5) 7-6(1) 6-4,FAUX,23,
52,Steve Johnson,United States,USA,Alex Bogomolov Jr,Russian Federation,RUS,29/08/2011,US Open,G,5,H,FAUX,49,R128,4-6 4-6 6-3 7-6(3) 6-3,FAUX,23,
52,Viktor Troicki,Serbia,SRB,Alex Bogomolov Jr,Russian Federation,RUS,17/10/2011,Moscow,B,3,H,VRAI,74,QF,7-6(6) 6-7(1) 7-6(1),VRAI,23,
75,Alexandr Dolgopolov,Ukraine,UKR,Bernard Tomic,Australia,AUS,10/01/2011,Sydney,B,3,H,FAUX,60,R32,6-7(3) 6-1 6-2,VRAI,22,
75,Alexandr Dolgopolov,Ukraine,UKR,Ivo Karlovic,Croatia,CRO,29/08/2011,US Open,G,5,H,FAUX,49,R32,6-7(4) 6-2 6-4 6-4,VRAI,22,
75,Frank Dancevic,Canada,CAN,Feliciano Lopez,Spain,ESP,31/01/2011,Johannesburg,B,3,H,FAUX,54,R32,6-7(5) 6-2 7-6(8),VRAI,22,
75,Gilles Muller,Luxembourg,LUX,Igor Kunitsyn,Russian Federation,RUS,29/08/2011,US Open,G,5,H,FAUX,49,R32,6-1 6-4 6-4,VRAI,22,
75,Ivo Karlovic,Croatia,CRO,Juan Martin Del Potro,Argentina,ARG,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,6-7(7) 6-3 7-5 6-4,FAUX,22,
75,John Isner,United States,USA,Robin Haase,Netherlands,NED,10/01/2011,Auckland,B,3,H,FAUX,66,R16,3-6 7-6(4) 7-5,VRAI,22,
75,John Isner,United States,USA,Olivier Rochus,Belgium,BEL,04/07/2011,Newport,B,3,G,FAUX,56,F,6-3 7-6(6),VRAI,22,
75,Julien Benneteau,France,FRA,Ruben Bemelmans,Belgium,BEL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-4 6-2 3-6 4-6 6-1,VRAI,22,
75,Kevin Anderson,South Africa,RSA,Donald Young,United States,USA,21/02/2011,Delray Beach,B,3,H,FAUX,67,R32,6-7(5) 7-6(4) 6-2,VRAI,22,
75,Kevin Anderson,South Africa,RSA,Nicolas Mahut,France,FRA,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,6-4 6-4 6-7(6) 6-3,VRAI,22,
75,Marin Cilic,Croatia,CRO,John Isner,United States,USA,17/01/2011,Australian Open,G,5,H,FAUX,55,R32,4-6 6-2 6-7(5) 7-6(2) 9-7,VRAI,22,
75,Milos Raonic,Canada,CAN,Marcos Baghdatis,Cyprus,CYP,17/10/2011,Stockholm,B,3,H,VRAI,63,R32,7-6(5) 6-7(4) 6-4,VRAI,22,
75,Milos Raonic,Canada,CAN,Julien Benneteau,France,FRA,07/11/2011,Paris Masters,M,3,H,VRAI,60,R64,6-7(5) 7-6(5) 6-4,FAUX,22,
75,Nicolas Almagro,Spain,ESP,Stephane Robert,France,FRA,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-4 6-3 6-7(4) 7-5,VRAI,22,
89,Andy Murray,United Kingdom,GBR,Robin Haase,Netherlands,NED,29/08/2011,US Open,G,5,H,FAUX,49,R64,6-7(5) 2-6 6-2 6-0 6-4,VRAI,21,
89,Andy Roddick,United States,USA,Lleyton Hewitt,Australia,AUS,14/02/2011,Memphis,A,3,H,VRAI,72,QF,4-6 6-3 6-4,VRAI,21,
89,Andy Roddick,United States,USA,Julien Benneteau,France,FRA,29/08/2011,US Open,G,5,H,FAUX,49,R32,6-1 6-4 7-6(5),VRAI,21,
89,Feliciano Lopez,Spain,ESP,Vasek Pospisil,Canada,CAN,29/08/2011,US Open,G,5,H,FAUX,49,R64,5-7 6-4 7-6(3) 7-6(5),VRAI,21,
89,Igor Andreev,Russian Federation,RUS,Nicolas Almagro,Spain,ESP,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,7-5 2-6 4-6 7-6(10) 7-5,FAUX,21,
89,Ivan Ljubicic,Croatia,CRO,Marin Cilic,Croatia,CRO,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(2) 3-6 6-3 6-4,VRAI,21,
89,Ivo Karlovic,Croatia,CRO,Nicolas Almagro,Spain,ESP,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R32,6-3 5-7 7-6(2),FAUX,21,
89,John Isner,United States,USA,Radek Stepanek,Czech Republic,CZE,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R64,7-5 5-7 7-6(4),FAUX,21,
89,John Isner,United States,USA,Alex Bogomolov Jr,Russian Federation,RUS,04/07/2011,Newport,B,3,G,FAUX,56,QF,7-6(5) 6-4,VRAI,21,
89,John Isner,United States,USA,Teymuraz Gabashvili,Russian Federation,RUS,21/02/2011,Delray Beach,B,3,H,FAUX,67,R32,6-4 5-7 7-6(13),FAUX,21,
89,Juan Martin Del Potro,Argentina,ARG,Feliciano Lopez,Spain,ESP,10/01/2011,Sydney,B,3,H,FAUX,60,R32,6-7(5) 7-6(9) 7-6(3),VRAI,21,
89,Milos Raonic,Canada,CAN,Michael Llodra,France,FRA,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,7-6(3) 6-3 7-6(4),VRAI,21,
89,Sam Querrey,United States,USA,Robin Soderling,Sweden,SWE,15/05/2011,Dusseldorf,T,3,C,FAUX,27,RR,5-7 7-5 7-6(3),FAUX,21,
102,Andy Roddick,United States,USA,Milos Raonic,Canada,CAN,14/02/2011,Memphis,A,3,H,VRAI,72,F,7-6(7) 6-7(11) 7-5,VRAI,20,
102,Dustin Brown,Germany,GER,Florian Mayer,Germany,GER,06/06/2011,Halle,B,3,G,FAUX,82,R32,7-6(6) 2-6 6-3,FAUX,20,
102,Feliciano Lopez,Spain,ESP,Juan Martin Del Potro,Argentina,ARG,10/01/2011,Sydney,B,3,H,FAUX,60,R32,6-7(5) 7-6(9) 7-6(3),FAUX,20,
102,Feliciano Lopez,Spain,ESP,Bernard Tomic,Australia,AUS,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,7-6(4) 7-6(3) 6-3,FAUX,20,
102,Feliciano Lopez,Spain,ESP,Mikhail Youzhny,Russian Federation,RUS,03/10/2011,Beijing,A,3,H,FAUX,55,R16,6-7(5) 6-2 7-5,FAUX,20,
102,Gael Monfils,France,FRA,Juan Carlos Ferrero,Spain,ESP,29/08/2011,US Open,G,5,H,FAUX,49,R64,7-6(5) 5-7 6-7(5) 6-4 6-4,FAUX,20,
102,Janko Tipsarevic,Serbia,SRB,Juan Carlos Ferrero,Spain,ESP,29/08/2011,US Open,G,5,H,FAUX,49,R16,7-5 6-7(3) 7-5 6-2,VRAI,20,
102,John Isner,United States,USA,Stan Wawrinka,Switzerland,SUI,07/11/2011,Paris Masters,M,3,H,VRAI,60,R64,6-7(3) 7-5 7-6(5),VRAI,20,
102,John Isner,United States,USA,Radek Stepanek,Czech Republic,CZE,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,4-6 6-4 6-2 6-1,VRAI,20,
102,John Isner,United States,USA,Robby Ginepri,United States,USA,29/08/2011,US Open,G,5,H,FAUX,49,R64,6-4 6-3 6-4,VRAI,20,
102,Jo Wilfried Tsonga,France,FRA,Andreas Seppi,Italy,ITA,17/01/2011,Australian Open,G,5,H,FAUX,55,R64,6-3 7-6(1) 7-6(5),VRAI,20,
102,Jo Wilfried Tsonga,France,FRA,Robin Soderling,Sweden,SWE,07/02/2011,Rotterdam,A,3,H,VRAI,85,F,6-3 3-6 6-3,FAUX,20,
102,Jo Wilfried Tsonga,France,FRA,Nicolas Mahut,France,FRA,19/09/2011,Metz,B,3,H,VRAI,70,QF,4-6 6-3 7-5,VRAI,20,
102,Jo Wilfried Tsonga,France,FRA,Xavier Malisse,Belgium,BEL,24/10/2011,Vienna,B,3,H,VRAI,76,QF,4-6 7-6(4) 6-4,VRAI,20,
102,Kevin Anderson,South Africa,RSA,Tommy Haas,Germany,GER,17/10/2011,Stockholm,B,3,H,VRAI,63,R16,6-7(3) 6-4 6-4,VRAI,20,
102,Kevin Anderson,South Africa,RSA,Robert Kendrick,United States,USA,14/02/2011,Memphis,A,3,H,VRAI,72,R32,5-7 6-3 7-6(4),FAUX,20,
102,Milos Raonic,Canada,CAN,Robert Kendrick,United States,USA,14/02/2011,Memphis,A,3,H,VRAI,72,QF,6-4 3-6 6-3,VRAI,20,
102,Milos Raonic,Canada,CAN,Xavier Malisse,Belgium,BEL,07/02/2011,San Jose,B,3,H,VRAI,70,R32,6-3 6-4,VRAI,20,
102,Pablo Cuevas,Uruguay,URU,Frederico Gil,Portugal,POR,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-4 6-7(7) 4-6 6-3 9-7,FAUX,20,
102,Steve Darcis,Belgium,BEL,Dmitry Tursunov,Russian Federation,RUS,29/08/2011,US Open,G,5,H,FAUX,49,R128,6-7(4) 4-6 7-5 6-1 7-6(0),VRAI,20,
102,Viktor Troicki,Serbia,SRB,Julian Reister,Germany,GER,22/05/2011,Roland Garros,G,5,C,FAUX,46,R128,6-4 6-3 6-3,VRAI,20,
123,Andy Roddick,United States,USA,David Ferrer,Spain,ESP,29/08/2011,US Open,G,5,H,FAUX,49,R16,6-3 6-4 3-6 6-3,VRAI,19,
123,Chris Guccione,Australia,AUS,James Blake,United States,USA,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,R128,3-6 6-3 6-2,FAUX,19,
123,Ernests Gulbis,Latvia,LAT,Yen Hsun Lu,Taiwan, Province of China,TPE,10/03/2011,Indian Wells Masters,M,3,H,FAUX,54,R64,6-7(1) 7-6(7) 6-1,VRAI,19,
123,Ernests Gulbis,Latvia,LAT,Gilles Muller,Luxembourg,LUX,29/08/2011,US Open,G,5,H,FAUX,49,R64,3-6 7-6(4) 6-4 7-6(5),FAUX,19,
123,Ernests Gulbis,Latvia,LAT,Simone Bolelli,Italy,ITA,26/09/2011,Bangkok,B,3,H,VRAI,61,R32,7-6(5) 7-6(5),FAUX,19,
123,Feliciano Lopez,Spain,ESP,Juan Carlos Ferrero,Spain,ESP,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R64,4-6 6-3 6-4,VRAI,19,
123,Feliciano Lopez,Spain,ESP,Ricardas Berankis,Lithuania,LTU,23/03/2011,Miami Masters,M,3,H,FAUX,55,R128,4-6 7-6(5) 6-3,VRAI,19,
123,Gilles Muller,Luxembourg,LUX,Ernests Gulbis,Latvia,LAT,29/08/2011,US Open,G,5,H,FAUX,49,R64,3-6 7-6(4) 6-4 7-6(5),VRAI,19,
123,Gilles Muller,Luxembourg,LUX,Konstantin Kravchuk,Russian Federation,RUS,17/10/2011,Moscow,B,3,H,VRAI,74,R32,7-6(5) 6-4,VRAI,19,
123,Igor Andreev,Russian Federation,RUS,Teymuraz Gabashvili,Russian Federation,RUS,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-4 7-6(5) 6-7(4) 4-6 6-3,VRAI,19,
123,Ivan Dodig,Croatia,CRO,Adrian Mannarino,France,FRA,17/10/2011,Stockholm,B,3,H,VRAI,63,R32,7-6(5) 7-6(6),VRAI,19,
123,Ivan Dodig,Croatia,CRO,Rafael Nadal,Spain,ESP,08/08/2011,Canada Masters,M,3,H,FAUX,62,R32,1-6 7-6(5) 7-6(5),VRAI,19,
123,Ivan Ljubicic,Croatia,CRO,Peter Luczak,Australia,AUS,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-3 6-3 7-6(2),VRAI,19,
123,Ivo Karlovic,Croatia,CRO,Lukasz Kubot,Poland,POL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,7-6(2) 6-3 6-3,FAUX,19,
123,Ivo Karlovic,Croatia,CRO,Florian Mayer,Germany,GER,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R64,6-1 6-3,VRAI,19,
123,Ivo Karlovic,Croatia,CRO,Ryan Sweeting,United States,USA,07/02/2011,San Jose,B,3,H,VRAI,70,R32,6-4 6-4,VRAI,19,
123,John Isner,United States,USA,Alex Bogomolov Jr,Russian Federation,RUS,29/08/2011,US Open,G,5,H,FAUX,49,R32,7-6(9) 6-4 6-4,VRAI,19,
123,John Isner,United States,USA,Julien Benneteau,France,FRA,21/08/2011,Winston-Salem,B,3,H,FAUX,55,F,4-6 6-3 6-4,VRAI,19,
123,John Isner,United States,USA,Vasek Pospisil,Canada,CAN,31/10/2011,Valencia,A,3,H,VRAI,64,R32,6-3 3-6 7-6(9),FAUX,19,
123,John Isner,United States,USA,Gael Monfils,France,FRA,31/07/2011,Washington,A,3,H,FAUX,55,SF,6-4 3-6 7-6(6),FAUX,19,
123,Jo Wilfried Tsonga,France,FRA,Grigor Dimitrov,Bulgaria,BUL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-7(4) 6-4 6-4 7-6(8),VRAI,19,
123,Juan Martin Del Potro,Argentina,ARG,Dudi Sela,Israel,ISR,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,7-6(13) 6-4 6-4,VRAI,19,
123,Kevin Anderson,South Africa,RSA,Adrian Mannarino,France,FRA,31/01/2011,Johannesburg,B,3,H,FAUX,54,SF,6-7(3) 6-0 6-4,VRAI,19,
123,Michael Llodra,France,FRA,Yen Hsun Lu,Taiwan, Province of China,TPE,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,6-3 6-3 6-1,VRAI,19,
123,Michael Llodra,France,FRA,Mikhail Youzhny,Russian Federation,RUS,14/08/2011,Cincinnati Masters,M,3,H,FAUX,68,R64,7-5 3-6 7-6(4),VRAI,19,
123,Pere Riba,Spain,ESP,Lukas Lacko,Slovakia,SVK,03/01/2011,Doha,B,3,H,FAUX,73,R32,5-7 7-6(7) 7-6(4),FAUX,19,
123,Robin Haase,Netherlands,NED,Andreas Seppi,Italy,ITA,14/02/2011,Marseille,B,3,H,VRAI,81,R32,5-7 6-4 7-6(2),FAUX,19,
123,Sam Querrey,United States,USA,Denis Istomin,Uzbekistan,UZB,14/02/2011,Memphis,A,3,H,VRAI,72,R32,6-7(5) 7-6(5) 6-4,VRAI,19,
123,Sam Querrey,United States,USA,Lukasz Kubot,Poland,POL,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,5-7 6-2 3-6 6-1 8-6,FAUX,19,
123,Vasek Pospisil,Canada,CAN,Feliciano Lopez,Spain,ESP,29/08/2011,US Open,G,5,H,FAUX,49,R64,5-7 6-4 7-6(3) 7-6(5),FAUX,19,
123,Xavier Malisse,Belgium,BEL,Jurgen Melzer,Austria,AUT,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,7-6(5) 6-3 6-0,VRAI,19,
